bandon 抛弃，放弃v.
aircraft 航空器n.
airline 航线，航空公司n.
airliner 定期航班n.
airmail 航空邮件n.
airplane 飞机.
airport 机场n.
airway 航线.
aisle 过道，走廊n.
ajar 半开的adv.
alarm 惊慌，警报n.
alarming 警告的adj.
alas 唉，哎呀int.
album 相册，地图册n.
alcohol 酒精n.
alcoholic 含酒精的adj.
alcoholism 嗜酒者，酒鬼n.
ale 淡啤酒n.
alert 警惕的，灵活的adj.
algebra 代数n.
alien 异国的，异样的adj.
alienate 疏远，转让，挪用v.
alienation 异化n.
alignment 对准，准线n.
alike 相象的adj.
alive 活着的，有生命的adj.
all 所有的adj.
allergic 过敏的，变态的dj.
allergy 反感，过敏的.
alliance 联合，同盟n.
allied 同盟的adj.
allocate 分配v.
allocation 分配.
allot 分配，配给v.
allotment 分配，份额n.
allow 允许，许可v.
allowance 补助，津贴n.
alloy 合金n.
ally 同盟者n.
almost 几乎，差不多adv.
alone 单独的，仅仅adj.
along 沿着prep.
alongside 在...旁边prep.
aloud 大声地adv.
alphabet 字母表n.
also 也adv.
alter 改变，变动v.
alternate 轮流，交替v.
alternation 改变，变更n.
alternative 两者取一n.,v.
although 虽然conj.
altitude 高度n.
altogether 全部地，总共adv.
aluminum 铝n.
always 总是，始终adv.
amateur 业余的adj.
amaze 使惊叹v.
amazement 惊奇，诧异n.
ambassador 大使n.
ambient 周围的，包围着的adj.
ambiguity 歧义性，意义不明处n.
ambiguous 模棱两可的adj.
ambition 抱负，野心n.
ambitious 雄心勃勃的adj.
ambulance 救护车n.
amend 修改，更正v.
amendment 修改(通知书)通知书.
amends 赔偿n.
america 美国，美洲n.
american 美国的adj.
amiable 和蔼的，亲切的adj.
amicable 友好的，和睦的adj.
amid 在...之间prep.
ammunition 弹药n.
among 在...之中prep.
amount 数量，总数n.
ampere 【电】安培n.
ample 宽大的，充裕的dj.
amplification 放大n.
amplifier 放大器，扩音机n.
amplify 详述，放大器.
amuse 逗乐，给娱乐v.
amusement 娱乐，乐趣n.
analogue 模拟，类似物n.
analogy 类似，类推n.
analysis 分析，分解n.
analytical 分析的，解析的adj.
analyze 分析，分解.
ancestor 祖先，祖宗n.
anchor 锚n.
ancient 古老的，古代的adj.
and 和，与，而conj.
anecdote 轶事，轶闻n.
angel 天命，安琪儿n.
anger 生气，愤怒n.
angle 角，角度n.
angry 生气的，愤怒的adj.
angular 角状的adj.
animal 动物n.
animate 使有活力，激活v.
animation 生气，生机n.
ankle 踝，踝骨n.
annex 附录，附件.
anniversary 周年纪念日n.
announce 宣布，通报v.
announcement 通知书.
announcer 播音员n.
annoy 烦扰，使生气v.
annoyance 烦恼，麻烦事n.
annual 每年的，年度的adj.
annually 每年，年年adv.
another 另一个pron.,prep.
answer 答案n.
ant 蚂蚁n.
antagonism 对立，敌对n.
antagonist 对手，敌手.
antarctic 南极的adj.
antecedent 触角，天线n.
antibiotic 抗菌的adj.
anticipate 期望，预料v.
anticipation 期望，预料.
antique 古老的dj.
antonym 反义词n.
antonymous 反义的adj.
anxiety 焦虑，担心n.
anxious 焦急的，切盼的adj.
anxiously 焦急地，急切地adv.
any 任何，一些adj.
anybody 任何人pron.
anyhow 无论如何adv.
anyone 无论谁pron.
anything 无论什么pron.
anyway 不管怎样adv.
anywhere 无论何地adv.
apart 分离，隔开adv.
apartment 套房，公寓n.
ape 猿猴n.
apologize 道歉v.
apology 道歉.
apparatus 仪器，设备n.
apparent 明显的，表面上的adj.
apparently 显然，似乎adj.
appeal 呼吁，上诉v.,n.
appealing 有吸引力的adj.
appear 出现，好象v.
appearance 出现，外表n.
appendix 附录，盲肠n.
appetite 食欲，欲望n.
applaud 称赞，拍手喝彩v.
applause 喝彩，欢呼n.
apple 苹果n.
applianc 款n.
